Acceleration,Battery,Brand,Drive,Efficiency,Fastcharge,Market_Segment,Model,Price_GE,Price_Nl,Price_UK,Range,Seat,Topspeed,Tow_Capacity
3.5 sec,74,Kia,All Wheel Drive,200 Wh/km,970 km/h,C,EV6 GT,"€69,990","€69,295","£61,595",370 km,5,260 km/h,1800
5.0 sec,75,Tesla,All Wheel Drive,172 Wh/km,670 km/h,D,Model Y Long Range Dual Motor,"€59,965","€66,995","£57,990",435 km,5,217 km/h,1600
6.1 sec,57.5,Tesla,Rear Wheel Drive,151 Wh/km,630 km/h,D,Model 3 ,"€52,965","€52,995","£48,490",380 km,5,225 km/h,1000
6.9 sec,57.5,Tesla,Rear Wheel Drive,167 Wh/km,580 km/h,D,Model Y ,"€56,965","€50,995","£51,990",345 km,5,217 km/h,1600
7.9 sec,61.7,MG,Rear Wheel Drive,169 Wh/km,450 km/h,C,MG4 Electric 64 kWh,"€35,990","€34,285","£28,495",365 km,5,160 km/h,500
4.4 sec,75,Tesla,All Wheel Drive,155 Wh/km,750 km/h,D,Model 3 Long Range Dual Motor,"€62,465","€60,995","£57,490",485 km,5,233 km/h,1000
10.0 sec,60,Lightyear,All Wheel Drive,109 Wh/km,520 km/h,F,0 ,"€297,500","€302,500","£265,000",550 km,5,160 km/h,
5.7 sec,80.7,BMW,Rear Wheel Drive,172 Wh/km,730 km/h,D,i4 eDrive40,"€59,200","€61,828","£53,480",470 km,5,190 km/h,1600
6.1 sec,71,BMW,All Wheel Drive,197 Wh/km,480 km/h,E,iX xDrive40,"€77,300","€85,095","£77,305",360 km,5,200 km/h,2500
7.3 sec,60,BYD,Front Wheel Drive,188 Wh/km,300 km/h,C,ATTO 3 ,"€44,625","€42,998",N/A,320 km,5,160 km/h,
5.6 sec,64.7,BMW,All Wheel Drive,182 Wh/km,510 km/h,C,iX1 xDrive30,"€55,000","€55,274","£52,255",355 km,5,180 km/h,1200
4.7 sec,101.7,BMW,All Wheel Drive,199 Wh/km,610 km/h,F,i7 xDrive60,"€135,900","€141,810","£108,305",510 km,5,240 km/h,2000
2.1 sec,95,Tesla,All Wheel Drive,176 Wh/km,750 km/h,F,Model S Plaid,"€138,970","€140,995","* £120,000",540 km,5,282 km/h,1600
6.2 sec,107.8,Mercedes,Rear Wheel Drive,168 Wh/km,960 km/h,F,EQS 450+,"€109,551","€109,090","£102,160",640 km,5,210 km/h,750
6.4 sec,90.6,Mercedes,Rear Wheel Drive,173 Wh/km,780 km/h,E,EQE 350+,N/A,"€82,028",N/A,525 km,5,210 km/h,750
7.8 sec,64.8,Kia,Front Wheel Drive,171 Wh/km,380 km/h,C,Niro EV ,"€47,590","€44,795","£36,245",380 km,5,167 km/h,750
5.1 sec,74,Hyundai,All Wheel Drive,168 Wh/km,1150 km/h,D,IONIQ 6 Long Range AWD,"€61,100","€62,895","£50,245",440 km,5,185 km/h,1500
4.6 sec,105.2,BMW,All Wheel Drive,208 Wh/km,680 km/h,E,iX xDrive50,"€100,100","€104,711","£107,305",505 km,5,200 km/h,2500
3.7 sec,75,Tesla,All Wheel Drive,181 Wh/km,640 km/h,D,Model Y Performance,"€68,465","€71,005","£67,990",415 km,5,250 km/h,1600
8.6 sec,77,Skoda,Rear Wheel Drive,183 Wh/km,530 km/h,C,Enyaq iV 80,"€46,800","€54,590","£42,925",420 km,5,160 km/h,1000
5.6 sec,106,Audi,All Wheel Drive,214 Wh/km,670 km/h,E,Q8 e-tron 55 quattro,"€85,300","* €85,000","£77,800",495 km,5,200 km/h,1800
7.4 sec,67,Volvo,Front Wheel Drive,200 Wh/km,540 km/h,C,XC40 Recharge Pure Electric,"€45,080","€46,995","£45,750",335 km,5,160 km/h,1500
